"receipt_id","date","items","processed_at","s3_path","total","user_id","vendor"
"a2bb0b7f-37dd-4326-bf81-1829e82f0225","26/08/25","""[{""""name"""":""""%%PALMOLIVE LHW FOAMIN 1LITRE"""",""""price"""":""""7.50""""},{""""name"""":""""*%PALM LHW LIME REFILL 1LITRE"""",""""price"""":""""7.50""""},{""""name"""":""""% COLGATE TRIPLE ACTIO 165GRAM"""",""""price"""":""""3.45""""},{""""name"""":""""% COLES 2PLY PAPER TWL 2PACK"""",""""price"""":""""4.40"""",""""quantity"""":""""2""""}]""","1757641683072","s3://receiptcat-poc-ai-eval-receipts/receipt14_G.jpg","$22.85","dummyuser123","coles"
"fe715454-339e-48d4-ac3c-d4ff15ea7c5c","16/07/25","""[{""""name"""":""""#Woolworths Paper Bag"""",""""price"""":""""0.25""""},{""""name"""":""""WW Full Cream Milk 1L"""",""""price"""":""""1.55""""},{""""name"""":""""Diced Beef Heart Smart 500g"""",""""price"""":""""12.00""""},{""""name"""":""""Buk Choy"""",""""price"""":""""2.90""""},{""""name"""":""""WW Frozen Mixed Berries 1kg"""",""""price"""":""""11.00""""},{""""name"""":""""WW Sliced Frozen Strawberries 500g"""",""""price"""":""""6.50""""},{""""name"""":""""^#Haagen Dazs Coffee Ice Cream 457ml"""",""""price"""":""""9.00""""}]""","1757642619076","s3://receiptcat-poc-ai-eval-receipts/receipt14_J.jpg","$43.20","dummyuser123","WOOLWORTHS GROUP LIMITED"
"6659fb97-27e7-4af3-90b4-c4559936ef83","07.08.25","""[{""""name"""":""""Orange Juice 500ml"""",""""price"""":""""1.99""""},{""""name"""":""""Pikelets 8pk"""",""""price"""":""""2.29""""}]""","1757644533310","s3://receiptcat-poc-ai-eval-receipts/receipt14_S.jpg","$4.28","dummyuser123","ALDI STORES"
"2e16b238-a80a-46a0-b05d-58968c856662","12 May 2025","""[{""""name"""":""""Briony Keyhole Lon... LEMON ICING M"""",""""price"""":""""$10.00"""",""""quantity"""":""""1""""},{""""name"""":""""MIC... LCN MT BRANDI CARLILE/"""",""""price"""":""""$5.00"""",""""quantity"""":""""1""""},{""""name"""":""""GRAPHIC NOT MY VALENTINE/BLACK"""",""""price"""":""""$20.00"""",""""quantity"""":""""1""""},{""""name"""":"""".\nFOUNDATION DONATION AUS os"""",""""price"""":""""$2.00"""",""""quantity"""":""""1""""}]""","1757640545484","s3://receiptcat-poc-ai-eval-receipts/receipt15_C.jpg","$37.20","dummyuser123","COTTON: ON"
"93414ad3-7039-4e3b-83b5-9edca2c82892","2025-09-02","""[{""""name"""":""""Glass Sparkling"""",""""price"""":""""$0.00""""},{""""name"""":""""Nao Nis Prosecco Glass"""",""""price"""":""""$11.00""""},{""""name"""":""""Chicken Parma X 2"""",""""price"""":""""$20.00"""",""""quantity"""":""""2""""},{""""name"""":""""Regular Sauce"""",""""price"""":""""$0.00""""},{""""name"""":""""Chunky Chips"""",""""price"""":""""$0.00""""}]""","1757641682044","s3://receiptcat-poc-ai-eval-receipts/receipt15_G.jpg","$31.00","dummyuser123","Papion Bites"
"96dcb75b-43a9-4fac-b3c5-3ee7251ffbd0","16/06/25","""[{""""name"""":""""WW Frozen Mixed Berries 1kg"""",""""price"""":""""11.00""""},{""""name"""":""""^#Lindt Excellence Dark 70% Cocoa 100g"""",""""price"""":""""6.00""""},{""""name"""":""""^#Haagen Dazs Coffee Ice Cream 457ml"""",""""price"""":""""8.00""""},{""""name"""":""""Macro Grass Fed BeefChuck Steak"""",""""price"""":""""10.71""""},{""""name"""":""""Divine Classic Desrtcream Caramel 2x150g"""",""""price"""":""""7.50"""",""""quantity"""":""""2""""},{""""name"""":""""WW Tomato Soup 300g"""",""""price"""":""""3.08""""}]""","1757642560714","s3://receiptcat-poc-ai-eval-receipts/receipt15_J.jpg","$40.76","dummyuser123","WOOLWORTHS GROUP LIMITED"
"31551e84-cb9b-41c2-9016-9ab6fa093d3b","20.08.25","""[{""""price"""":""""3.69"""",""""name"""":""""RRD SwtChilli 135g""""},{""""price"""":""""4.49"""",""""name"""":""""Brioche Loaf 500g""""}]""","1757644533173","s3://receiptcat-poc-ai-eval-receipts/receipt15_S.jpg","$8.18","dummyuser123","ALDI STORES"
"7dfad196-18de-4fab-aa1d-7244560ad7fb","27/08/2025","""[{""""name"""":""""ESOPREZE TAB-EC 20MG 3"""",""""price"""":""""14.90"""",""""quantity"""":""""1.00""""},{""""name"""":""""BREO-ELLIPTA ACCU 100M"""",""""price"""":""""55.70"""",""""quantity"""":""""1""""},{""""name"""":""""EGO QV FACE RVT EYE CR"""",""""price"""":""""15.19"""",""""quantity"""":""""1""""}]""","1757640485195","s3://receiptcat-poc-ai-eval-receipts/receipt16_C.jpg","$ 85.79","dummyuser123","Terry White Chemmart Armstrong Creek"
"27d05f53-8f0c-407b-86c1-b15aac451b7d","30 Aug 2025","""[{""""name"""":""""Dirty Ube Latte\nMedium"""",""""price"""":""""$7.00"""",""""quantity"""":""""1""""},{""""name"""":""""Ube Latte\nSmall"""",""""price"""":""""$6.00"""",""""quantity"""":""""1""""}]""","1757641681096","s3://receiptcat-poc-ai-eval-receipts/receipt16_G.jpg","$14.53","dummyuser123","MR ELBY PTY LTD"
"62df5f82-1204-4b93-b548-cae25ce39c45","19/08/25","""[{""""name"""":""""Divine Classic Desrtcream Caramel 2x150g"""",""""price"""":""""7.50"""",""""quantity"""":""""2""""},{""""name"""":""""ANY 2 for $6.50"""",""""price"""":""""-1.00""""},{""""name"""":""""^#Oatly Oat Drink Chocolate 1L"""",""""price"""":""""7.80"""",""""quantity"""":""""2""""},{""""name"""":""""WW Frozen Mixed Berries 1kg"""",""""price"""":""""11.00""""},{""""name"""":""""WW Sliced Frozen Strawberries 500g"""",""""price"""":""""6.50""""}]""","1757642560005","s3://receiptcat-poc-ai-eval-receipts/receipt16_J.jpg","$31.80","dummyuser123","WOOLWORTHS GROUP LIMITED"
